Date,Price,Open,High,Low,Vol,Change %
3/4/2025,27500,26100,27550,26000,40200000,5.36%
3/3/2025,26100,26150,26300,26050,9360000,0.00%
2/28/2025,26100,26250,26300,26050,12220000,-0.57%
2/27/2025,26250,26400,26400,26000,12510000,-0.19%
2/26/2025,26300,26400,26550,26300,9950000,-0.38%
2/25/2025,26400,26600,26800,26350,14500000,-0.38%
2/24/2025,26500,26400,26650,26300,11760000,0.00%
2/21/2025,26500,26600,26600,26400,8800000,-0.19%
2/20/2025,26550,26200,26600,26050,21180000,1.72%
2/19/2025,26100,25950,26150,25800,12940000,0.97%
2/18/2025,25850,25700,26100,25650,10760000,0.58%
2/17/2025,25700,26000,26100,25700,10970000,-1.15%
2/14/2025,26000,26100,26200,25900,10240000,0.19%
2/13/2025,25950,25600,26000,25550,11950000,0.97%
2/12/2025,25700,26000,26000,25700,11520000,-0.77%
2/11/2025,25900,26100,26150,25750,15670000,0.58%
2/10/2025,25750,25750,26250,25450,22150000,0.00%
2/7/2025,25750,25450,25800,25200,26590000,2.18%
2/6/2025,25200,24900,25500,24800,37580000,2.02%
2/5/2025,24700,24850,24900,24550,9430000,0.20%
2/4/2025,24650,24350,24700,24300,12470000,1.65%
2/3/2025,24250,24500,24700,24250,10890000,-2.02%
1/24/2025,24750,24800,24850,24650,10330000,0.61%
1/23/2025,24600,24350,24850,24250,21070000,1.65%
1/22/2025,24200,24450,24450,24150,7460000,0.00%
1/21/2025,24200,24400,24500,24150,8130000,-0.82%
1/20/2025,24400,24400,24500,24250,5180000,0.00%
1/17/2025,24400,23850,24400,23750,10020000,2.31%
1/16/2025,23850,23850,23950,23600,8070000,0.63%
1/15/2025,23700,23800,23900,23650,6720000,0.42%
1/14/2025,23600,23550,23750,23500,4180000,-0.84%
1/13/2025,23800,23200,23800,23150,7940000,1.71%
1/10/2025,23400,24000,24000,23400,6230000,-2.30%
1/9/2025,23950,24050,24050,23750,4710000,0.00%
1/8/2025,23950,23800,24300,23650,11950000,1.27%
1/7/2025,23650,23900,23900,23550,7620000,0.21%
1/6/2025,23600,23600,23850,23500,8130000,0.00%
1/3/2025,23600,24350,24350,23600,17430000,-3.08%
1/2/2025,24350,24650,24700,24300,7830000,-1.22%
12/31/2024,24650,24350,24650,24350,9400000,1.02%
12/30/2024,24400,24750,24750,24350,10150000,-0.81%
12/27/2024,24600,24500,24900,24450,15400000,1.03%
12/26/2024,24350,24500,24550,24300,5480000,-0.41%
12/25/2024,24450,24000,24900,23950,18370000,1.88%
12/24/2024,24000,24050,24050,23800,5180000,0.42%
12/23/2024,23900,24000,24050,23800,3210000,0.42%
12/20/2024,23800,23850,23950,23800,4590000,0.21%
12/19/2024,23750,24000,24050,23750,15030000,-1.86%
12/18/2024,24200,24250,24300,24100,5790000,0.00%
12/17/2024,24200,24400,24400,24150,5390000,-0.41%
12/16/2024,24300,24300,24400,24100,6360000,-0.21%
12/13/2024,24350,24300,24550,24100,11020000,0.41%
12/12/2024,24250,24200,24500,24150,18540000,0.41%
12/11/2024,24150,24050,24300,24000,10340000,0.42%
12/10/2024,24050,24050,24200,24000,7040000,-0.41%
12/9/2024,24150,24100,24300,23950,7600000,0.00%
12/6/2024,24150,24200,24250,23950,10920000,-0.21%
12/5/2024,24200,23450,24200,23350,14190000,3.20%
12/4/2024,23450,23450,23600,23400,8180000,-0.85%
12/3/2024,23650,23650,23750,23450,8330000,0.00%
12/2/2024,23650,23700,23700,23400,6570000,0.21%
11/29/2024,23600,23500,23600,23350,8450000,0.00%
11/28/2024,23600,23650,23700,23400,8140000,0.43%
11/27/2024,23500,23500,23600,23350,6390000,-0.21%
11/26/2024,23550,23500,23700,23450,6760000,0.21%
11/25/2024,23500,23500,23600,23400,7190000,0.00%
11/22/2024,23500,23200,23550,23150,14410000,1.29%
11/21/2024,23200,22800,23200,22600,11210000,1.53%
11/20/2024,22850,22300,22850,22250,10250000,2.01%
11/19/2024,22400,22550,22550,22200,6940000,-0.22%
11/18/2024,22450,22400,22700,22200,12110000,0.00%
11/15/2024,22450,22800,22800,22400,14450000,-1.54%
11/14/2024,22800,23000,23050,22750,7430000,-1.51%
11/13/2024,23150,23000,23150,22700,13320000,0.43%
11/12/2024,23050,23400,23400,22900,12490000,-0.65%
11/11/2024,23200,23700,23700,23050,15360000,-1.69%
11/8/2024,23600,24000,24000,23450,13100000,-1.05%
11/7/2024,23850,24150,24150,23850,8600000,-0.21%
11/6/2024,23900,23600,24050,23600,15680000,1.92%
11/5/2024,23450,23500,23650,23450,9920000,0.00%
11/4/2024,23450,23750,23750,23400,13930000,-1.05%
11/1/2024,23700,23850,24000,23700,14550000,-0.84%
10/31/2024,23900,24000,24100,23850,8620000,-0.42%
10/30/2024,24000,23800,24000,23750,11090000,1.05%
10/29/2024,23750,23700,23850,23700,6290000,0.42%
10/28/2024,23650,23500,23700,23450,7020000,0.64%
10/25/2024,23500,23750,23850,23400,14330000,-0.63%
10/24/2024,23650,24150,24200,23550,14260000,-2.27%
10/23/2024,24200,24200,24300,23750,16760000,0.00%
